dispersion;ouverture_0;ouverture_5;ouverture_10;ouverture_15;ouverture_20;ouverture_25;ouverture_30;ouverture_35;ouverture_40;ouverture_45;ouverture_50;ouverture_55;ouverture_60;ouverture_65;ouverture_70;ouverture_75;ouverture_80;ouverture_85;ouverture_90;ouverture_95;ouverture_100
16;0;0,91;1,82;2,73;3,66;4,61;5,57;6,56;7,58;8,64;9,75;10,92;12,17;13,52;15;16,66;18,58;20,9;23,91;28,56;52,02
16,1;0;0,91;1,81;2,73;3,65;4,59;5,55;6,54;7,55;8,61;9,72;10,89;12,13;13,48;14,96;16,61;18,52;20,83;23,84;28,47;51,83
16,2;0;0,91;1,81;2,73;3,65;4,59;5,55;6,54;7,55;8,61;9,72;10,89;12,13;13,48;14,96;16,61;18,52;20,83;23,84;28,47;51,83
16,3;0;0,9;1,8;2,71;3,63;4,56;5,52;6,5;7,51;8,56;9,66;10,82;12,06;13,4;14,86;16,5;18,4;20,7;23,68;28,28;51,45
16,4;0;0,9;1,8;2,7;3,62;4,55;5,5;6,48;7,48;8,53;9,63;10,79;12,02;13,35;14,82;16,45;18,34;20,63;23,61;28,19;51,26
16,5;0;0,9;1,79;2,69;3,61;4,53;5,48;6,46;7,46;8,51;9,6;10,75;11,98;13,31;14,77;16,4;18,29;20,57;23,53;28,11;51,07
16,6;0;0,89;1,79;2,68;3,59;4,52;5,47;6,44;7,44;8,48;9,57;10,72;11,95;13,27;14,72;16,35;18,23;20,51;23,46;28,02;50,88
16,7;0;0,89;1,79;2,68;3,59;4,52;5,47;6,44;7,44;8,48;9,57;10,72;11,95;13,27;14,72;16,35;18,23;20,51;23,46;28,02;50,88
16,8;0;0,89;1,77;2,67;3,57;4,49;5,43;6,4;7,39;8,43;9,51;10,66;11,87;13,19;14,63;16,25;18,12;20,38;23,32;27,85;50,69
16,9;0;0,89;1,77;2,66;3,56;4,48;5,42;6,38;7,37;8,4;9,48;10,62;11,84;13,15;14,59;16,2;18,06;20,32;23,25;27,76;50,52
17;0;0,88;1,76;2,65;3,55;4,47;5,4;6,36;7,35;8,38;9,45;10,59;11,8;13,11;14,55;16,15;18,01;20,26;23,18;27,68;50,35
17,1;0;0,88;1,76;2,64;3,54;4,45;5,38;6,34;7,33;8,35;9,43;10,56;11,77;13,07;14,5;16,11;17,95;20,2;23,11;27,59;50,18
17,2;0;0,88;1,76;2,64;3,54;4,45;5,38;6,34;7,33;8,35;9,43;10,56;11,77;13,07;14,5;16,11;17,95;20,2;23,11;27,59;50,18
17,3;0;0,87;1,75;2,63;3,52;4,43;5,35;6,3;7,28;8,3;9,37;10,5;11,7;12,99;14,42;16,01;17,85;20,08;22,97;27,43;49,85
17,4;0;0,87;1,74;2,62;3,51;4,41;5,34;6,28;7,26;8,28;9,34;10,47;11,66;12,96;14,37;15,96;17,8;20,02;22,9;27,34;49,68
17,5;0;0,87;1,74;2,61;3,5;4,4;5,32;6,27;7,24;8,26;9,32;10,44;11,63;12,92;14,33;15,92;17,74;19,95;22,83;27,26;49,51
17,6;0;0,87;1,73;2,61;3,49;4,39;5,31;6,25;7,22;8,23;9,29;10,41;11,6;12,88;14,29;15,87;17,69;19,89;22,77;27,18;49,34
17,7;0;0,87;1,73;2,61;3,49;4,39;5,31;6,25;7,22;8,23;9,29;10,41;11,6;12,88;14,29;15,87;17,69;19,89;22,77;27,18;49,34
17,8;0;0,86;1,72;2,59;3,47;4,36;5,27;6,21;7,18;8,18;9,24;10,35;11,53;12,81;14,21;15,78;17,59;19,78;22,63;27,02;49,01
17,9;0;0,86;1,72;2,58;3,46;4,35;5,26;6,19;7,16;8,16;9,21;10,32;11,5;12,77;14,17;15,73;17,54;19,72;22,57;26,94;48,84
18;0;0,86;1,71;2,58;3,45;4,34;5,24;6,18;7,14;8,14;9,18;10,29;11,46;12,73;14,13;15,69;17,49;19,66;22,5;26,87;48,67
18,1;0;0,86;1,71;2,57;3,44;4,33;5,23;6,16;7,12;8,11;9,16;10,26;11,43;12,7;14,09;15,64;17,44;19,61;22,44;26,79;48,51
18,2;0;0,86;1,71;2,57;3,44;4,33;5,23;6,16;7,12;8,11;9,16;10,26;11,43;12,7;14,09;15,64;17,44;19,61;22,44;26,79;48,51
18,3;0;0,85;1,7;2,55;3,42;4,3;5,2;6,13;7,08;8,07;9,11;10,2;11,37;12,63;14,01;15,56;17,34;19,5;22,31;26,64;48,38
18,4;0;0,85;1,69;2,55;3,41;4,29;5,19;6,11;7,06;8,05;9,08;10,17;11,34;12,59;13,97;15,51;17,29;19,44;22,25;26,56;48,23
18,5;0;0,85;1,69;2,54;3,4;4,28;5,17;6,09;7,04;8,03;9,06;10,15;11,31;12,56;13,93;15,47;17,25;19,39;22,19;26,49;48,08
18,6;0;0,84;1,69;2,53;3,39;4,27;5,16;6,07;7,02;8;9,03;10,12;11,27;12,52;13,89;15,43;17,2;19,34;22,13;26,42;47,93
18,7;0;0,84;1,69;2,53;3,39;4,27;5,16;6,07;7,02;8;9,03;10,12;11,27;12,52;13,89;15,43;17,2;19,34;22,13;26,42;47,93
18,8;0;0,84;1,68;2,52;3,37;4,24;5,13;6,04;6,98;7,96;8,98;10,06;11,21;12,46;13,82;15,34;17,11;19,23;22,01;26,27;47,63
18,9;0;0,84;1,67;2,51;3,37;4,23;5,12;6,03;6,96;7,94;8,96;10,04;11,18;12,42;13,78;15,3;17,06;19,18;21,95;26,2;47,48
19;0;0,83;1,67;2,51;3,36;4,22;5,1;6,01;6,95;7,92;8,93;10,01;11,15;12,39;13,74;15,26;17,01;19,13;21,89;26,13;47,33
19,1;0;0,83;1,66;2,5;3,35;4,21;5,09;5,99;6,93;7,9;8,91;9,98;11,12;12,36;13,71;15,22;16,97;19,07;21,83;26,06;47,19
19,2;0;0,83;1,66;2,49;3,34;4,2;5,08;5,98;6,91;7,88;8,89;9,96;11,09;12,32;13,67;15,18;16,92;19,02;21,77;25,99;47,04
19,3;0;0,83;1,65;2,49;3,33;4,19;5,06;5,96;6,89;7,85;8,86;9,93;11,06;12,29;13,63;15,14;16,88;18,97;21,71;25,92;46,89
19,4;0;0,83;1,65;2,48;3,32;4,18;5,05;5,95;6,87;7,83;8,84;9,9;11,04;12,26;13,6;15,1;16,83;18,92;21,65;25,85;46,74
19,5;0;0,82;1,65;2,47;3,31;4,17;5,04;5,93;6,85;7,81;8,82;9,88;11,01;12,23;13,56;15,06;16,79;18,87;21,6;25,78;46,59
19,6;0;0,82;1,64;2,47;3,3;4,15;5,02;5,92;6,84;7,79;8,8;9,85;10,98;12,19;13,53;15,02;16,75;18,82;21,54;25,71;46,62
19,7;0;0,82;1,64;2,46;3,3;4,14;5,01;5,9;6,82;7,77;8,77;9,83;10,95;12,16;13,49;14,98;16,7;18,77;21,49;25,65;46,49
19,8;0;0,82;1,63;2,45;3,29;4,13;5;5,89;6,8;7,75;8,75;9,8;10,92;12,13;13,46;14,94;16,66;18,73;21,43;25,58;46,35
19,9;0;0,82;1,63;2,45;3,28;4,12;4,98;5,87;6,78;7,73;8,73;9,78;10,89;12,1;13,42;14,91;16,62;18,68;21,38;25,51;46,22
20;0;0,81;1,62;2,44;3,27;4,11;4,97;5,86;6,77;7,71;8,71;9,75;10,87;12,07;13,39;14,87;16,57;18,63;21,32;25,45;46,09
20,1;0;0,81;1,62;2,44;3,26;4,1;4,96;5,84;6,75;7,69;8,68;9,73;10,84;12,04;13,36;14,83;16,53;18,58;21,27;25,38;45,95
20,2;0;0,81;1,62;2,43;3,25;4,09;4,95;5,83;6,73;7,68;8,66;9,7;10,81;12,01;13,32;14,79;16,49;18,54;21,21;25,32;45,82
20,3;0;0,81;1,61;2,42;3,25;4,08;4,93;5,81;6,72;7,66;8,64;9,68;10,78;11,98;13,29;14,76;16,45;18,49;21,16;25,25;45,69
20,4;0;0,81;1,61;2,42;3,24;4,07;4,92;5,8;6,7;7,64;8,62;9,65;10,76;11,95;13,26;14,72;16,41;18,44;21,1;25,19;45,55
20,5;0;0,8;1,6;2,41;3,23;4,06;4,91;5,78;6,68;7,62;8,6;9,63;10,73;11,92;13,22;14,68;16,37;18,4;21,05;25,12;45,42
20,6;0;0,8;1,6;2,41;3,22;4,05;4,9;5,77;6,67;7,6;8,58;9,61;10,7;11,89;13,19;14,65;16,33;18,35;21;25,06;45,29
20,7;0;0,8;1,6;2,4;3,21;4,04;4,89;5,75;6,65;7,58;8,55;9,58;10,68;11,86;13,16;14,61;16,28;18,31;20,95;25;45,15
20,8;0;0,8;1,59;2,39;3,21;4,03;4,87;5,74;6,63;7,56;8,53;9,56;10,65;11,83;13,13;14,57;16,24;18,26;20,9;24,94;45,02
20,9;0;0,8;1,59;2,39;3,2;4,02;4,86;5,73;6,62;7,54;8,51;9,54;10,63;11,8;13,09;14,54;16,2;18,22;20,84;24,87;44,88
21;0;0,79;1,59;2,38;3,19;4,01;4,85;5,71;6,6;7,53;8,49;9,51;10,6;11,77;13,06;14,5;16,17;18,17;20,79;24,82;44,92
21,1;0;0,79;1,58;2,38;3,18;4;4,84;5,7;6,59;7,51;8,47;9,49;10,58;11,75;13,03;14,47;16,13;18,13;20,74;24,75;44,8
21,2;0;0,79;1,58;2,37;3,18;3,99;4,83;5,69;6,57;7,49;8,45;9,47;10,55;11,72;13;14,43;16,09;18,08;20,69;24,69;44,68
21,3;0;0,79;1,57;2,37;3,17;3,98;4,82;5,67;6,55;7,47;8,43;9,44;10,52;11,69;12,97;14,4;16,05;18,04;20,64;24,63;44,56
21,4;0;0,79;1,57;2,36;3,16;3,97;4,8;5,66;6,54;7,45;8,41;9,42;10,5;11,66;12,94;14,36;16,01;18;20,59;24,58;44,44
21,5;0;0,78;1,57;2,35;3,15;3,96;4,79;5,64;6,52;7,44;8,39;9,4;10,47;11,63;12,91;14,33;15,97;17,95;20,55;24,52;44,32
21,6;0;0,78;1,56;2,35;3,15;3,96;4,78;5,63;6,51;7,42;8,37;9,38;10,45;11,61;12,88;14,3;15,94;17,91;20,5;24,46;44,2
21,7;0;0,78;1,56;2,34;3,14;3,95;4,77;5,62;6,49;7,4;8,35;9,36;10,43;11,58;12,85;14,26;15,9;17,87;20,45;24,4;44,08
21,8;0;0,78;1,56;2,34;3,13;3,94;4,76;5,61;6,48;7,38;8,33;9,33;10,4;11,55;12,82;14,23;15,86;17,83;20,4;24,34;43,96
21,9;0;0,78;1,55;2,33;3,12;3,93;4,75;5,59;6,46;7,37;8,31;9,31;10,38;11,53;12,79;14,2;15,82;17,79;20,35;24,28;43,84
22;0;0,78;1,55;2,33;3,12;3,92;4,74;5,58;6,45;7,35;8,29;9,29;10,35;11,5;12,76;14,16;15,79;17,75;20,3;24,23;43,72
22,1;0;0,77;1,54;2,32;3,11;3,91;4,73;5,57;6,43;7,33;8,28;9,27;10,33;11,47;12,73;14,13;15,75;17,7;20,26;24,17;43,6
22,2;0;0,77;1,54;2,32;3,1;3,9;4,72;5,55;6,42;7,32;8,26;9,25;10,31;11,45;12,7;14,1;15,71;17,66;20,21;24,11;43,48
22,3;0;0,77;1,54;2,31;3,1;3,89;4,71;5,54;6,4;7,3;8,24;9,23;10,28;11,42;12,67;14,07;15,68;17,62;20,16;24,06;43,35
22,4;0;0,77;1,53;2,31;3,09;3,88;4,7;5,53;6,39;7,28;8,22;9,21;10,26;11,39;12,64;14,03;15,64;17,58;20,12;24;43,23
22,5;0;0,77;1,53;2,3;3,08;3,87;4,68;5,52;6,38;7,27;8,2;9,19;10,24;11,37;12,61;14;15,61;17,54;20,07;23,95;43,29
22,6;0;0,76;1,53;2,3;3,07;3,87;4,67;5,5;6,36;7,25;8,18;9,17;10,21;11,34;12,58;13,97;15,57;17,5;20,03;23,9;43,18
22,7;0;0,76;1,52;2,29;3,07;3,86;4,66;5,49;6,35;7,23;8,16;9,14;10,19;11,32;12,56;13,94;15,54;17,46;19,97;23,84;43,07
22,8;0;0,76;1,52;2,29;3,06;3,85;4,65;5,48;6,33;7,22;8,15;9,12;10,17;11,29;12,53;13,91;15,5;17,43;19,93;23,79;42,97
22,9;0;0,76;1,52;2,28;3,05;3,84;4,64;5,47;6,32;7,2;8,13;9,1;10,15;11,27;12,5;13,88;15,47;17,39;19,88;23,74;42,86
23;0;0,76;1,51;2,28;3,05;3,83;4,63;5,46;6,3;7,19;8,11;9,08;10,12;11,24;12,47;13,85;15,43;17,35;19,84;23,68;42,75
23,1;0;0,76;1,51;2,27;3,04;3,82;4,62;5,44;6,29;7,17;8,09;9,06;10,1;11,22;12,44;13,82;15,4;17,31;19,8;23,63;42,64
23,2;0;0,75;1,51;2,27;3,03;3,81;4,61;5,43;6,28;7,16;8,07;9,04;10,08;11,19;12,42;13,79;15,37;17,27;19,75;23,58;42,53
23,3;0;0,75;1,5;2,26;3,03;3,81;4,6;5,42;6,26;7,14;8,06;9,02;10,06;11,17;12,39;13,76;15,33;17,23;19,71;23,52;42,42
23,4;0;0,75;1,5;2,26;3,02;3,8;4,59;5,41;6,25;7,12;8,04;9,01;10,03;11,15;12,36;13,73;15,3;17,2;19,66;23,47;42,31
23,5;0;0,75;1,5;2,25;3,01;3,79;4,58;5,4;6,24;7,11;8,02;8,99;10,01;11,12;12,34;13,7;15,27;17,16;19,62;23,42;42,2
23,6;0;0,75;1,49;2,25;3,01;3,78;4,57;5,38;6,22;7,09;8;8,97;9,99;11,1;12,31;13,67;15,23;17,12;19,58;23,37;42,09
23,7;0;0,75;1,49;2,24;3;3,77;4,56;5,37;6,21;7,08;7,99;8,95;9,97;11,07;12,28;13,64;15,2;17,08;19,54;23,32;41,97
23,8;0;0,75;1,49;2,24;3;3,77;4,55;5,36;6,2;7,06;7,97;8,93;9,95;11,05;12,26;13,61;15,17;17,05;19,49;23,27;41,86
23,9;0;0,74;1,48;2,23;2,99;3,76;4,54;5,35;6,18;7,05;7,95;8,91;9,93;11,03;12,23;13,58;15,14;17,01;19,45;23,22;41,93
24;0;0,74;1,48;2,23;2,98;3,75;4,53;5,34;6,17;7,03;7,94;8,89;9,91;11;12,21;13,55;15,1;16,98;19,41;23,17;41,83
24,1;0;0,74;1,48;2,22;2,98;3,74;4,52;5,33;6,16;7,02;7,92;8,87;9,89;10,98;12,18;13,52;15,07;16,94;19,37;23,12;41,73
24,2;0;0,74;1,48;2,22;2,97;3,73;4,52;5,32;6,14;7;7,9;8,85;9,87;10,96;12,15;13,49;15,04;16,9;19,33;23,07;41,63
24,3;0;0,74;1,47;2,21;2,96;3,73;4,51;5,31;6,13;6,99;7,89;8,83;9,84;10,93;12,13;13,47;15,01;16,87;19,29;23,02;41,53
24,4;0;0,74;1,47;2,21;2,96;3,72;4,5;5,29;6,12;6,98;7,87;8,82;9,82;10,91;12,1;13,44;14,98;16,83;19,25;22,98;41,43
24,5;0;0,73;1,47;2,2;2,95;3,71;4,49;5,28;6,11;6,96;7,85;8,8;9,8;10,89;12,08;13,41;14,95;16,8;19,21;22,93;41,33
24,6;0;0,73;1,46;2,2;2,95;3,7;4,48;5,27;6,09;6,95;7,84;8,78;9,78;10,87;12,05;13,38;14,92;16,76;19,17;22,88;41,23
24,7;0;0,73;1,46;2,2;2,94;3,7;4,47;5,26;6,08;6,93;7,82;8,76;9,76;10,84;12,03;13,36;14,88;16,73;19,13;22,83;41,13
24,8;0;0,73;1,46;2,19;2,93;3,69;4,46;5,25;6,07;6,92;7,81;8,74;9,74;10,82;12;13,33;14,85;16,69;19,09;22,78;41,03
24,9;0;0,73;1,45;2,19;2,93;3,68;4,45;5,24;6,06;6,9;7,79;8,73;9,72;10,8;11,98;13,3;14,82;16,66;19,05;22,74;40,93
25;0;0,73;1,45;2,18;2,92;3,67;4,44;5,23;6,04;6,89;7,77;8,71;9,7;10,78;11,96;13,27;14,79;16,63;19,01;22,69;40,83
25,1;0;0,73;1,45;2,18;2,92;3,67;4,43;5,22;6,03;6,88;7,76;8,69;9,68;10,76;11,93;13,25;14,76;16,59;18,97;22,64;40,72
25,2;0;0,72;1,45;2,17;2,91;3,66;4,42;5,21;6,02;6,86;7,74;8,67;9,66;10,73;11,91;13,22;14,73;16,56;18,93;22,6;40,62
25,3;0;0,72;1,44;2,17;2,9;3,65;4,42;5,2;6,01;6,85;7,73;8,66;9,65;10,71;11,88;13,19;14,7;16,53;18,9;22,55;40,51
25,4;0;0,72;1,44;2,16;2,9;3,64;4,41;5,19;6;6,84;7,71;8,64;9,63;10,69;11,86;13,17;14,68;16,49;18,86;22,51;40,59
25,5;0;0,72;1,44;2,16;2,89;3,64;4,4;5,18;5,98;6,82;7,7;8,62;9,61;10,67;11,84;13,14;14,65;16,46;18,82;22,46;40,5
25,6;0;0,72;1,43;2,16;2,89;3,63;4,39;5,17;5,97;6,81;7,68;8,6;9,59;10,65;11,81;13,12;14,62;16,43;18,78;22,42;40,41
25,7;0;0,72;1,43;2,15;2,88;3,62;4,38;5,16;5,96;6,79;7,67;8,59;9,57;10,63;11,79;13,09;14,59;16,39;18,75;22,37;40,32
25,8;0;0,72;1,43;2,15;2,88;3,62;4,37;5,15;5,95;6,78;7,65;8,57;9,55;10,61;11,77;13,06;14,56;16,36;18,71;22,33;40,23
25,9;0;0,71;1,43;2,14;2,87;3,61;4,36;5,14;5,94;6,77;7,64;8,55;9,53;10,59;11,74;13,04;14,53;16,33;18,67;22,28;40,14
26;0;0,71;1,42;2,14;2,86;3,6;4,35;5,13;5,93;6,75;7,62;8,54;9,51;10,57;11,72;13,01;14,5;16,3;18,64;22,24;40,04
26,1;0;0,71;1,42;2,14;2,86;3,59;4,35;5,12;5,91;6,74;7,61;8,52;9,49;10,55;11,7;12,99;14,47;16,27;18,6;22,2;39,94
26,2;0;0,71;1,42;2,13;2,85;3,59;4,34;5,11;5,9;6,73;7,59;8,5;9,48;10,53;11,67;12,96;14,45;16,23;18,56;22,15;39,85
26,3;0;0,71;1,42;2,13;2,85;3,58;4,33;5,1;5,89;6,72;7,58;8,49;9,46;10,5;11,65;12,94;14,42;16,2;18,53;22,11;39,76
26,4;0;0,71;1,41;2,12;2,84;3,57;4,32;5,09;5,88;6,7;7,56;8,47;9,44;10,48;11,63;12,91;14,39;16,17;18,49;22,07;39,66
26,5;0;0,71;1,41;2,12;2,84;3,57;4,31;5,08;5,87;6,69;7,55;8,46;9,42;10,46;11,61;12,89;14,36;16,14;18,46;22,02;39,57
26,6;0;0,7;1,41;2,12;2,83;3,56;4,3;5,07;5,86;6,68;7,53;8,44;9,4;10,44;11,59;12,86;14,33;16,11;18,42;21,98;39,47
26,7;0;0,7;1,4;2,11;2,83;3,55;4,3;5,06;5,85;6,66;7,52;8,42;9,39;10,42;11,56;12,84;14,31;16,08;18,38;21,94;39,38
26,8;0;0,7;1,4;2,11;2,82;3,55;4,29;5,05;5,84;6,65;7,51;8,41;9,37;10,4;11,54;12,81;14,28;16,05;18,35;21,9;39,28
26,9;0;0,7;1,4;2,1;2,82;3,54;4,28;5,04;5,82;6,64;7,49;8,39;9,35;10,39;11,52;12,79;14,25;16,02;18,32;21,86;39,37
27;0;0,7;1,4;2,1;2,81;3,53;4,27;5,03;5,81;6,63;7,48;8,38;9,33;10,37;11,5;12,77;14,23;15,99;18,28;21,82;39,28
27,1;0;0,7;1,39;2,1;2,81;3,53;4,26;5,02;5,8;6,61;7,46;8,36;9,32;10,35;11,48;12,74;14,2;15,96;18,25;21,77;39,2
27,2;0;0,7;1,39;2,09;2,8;3,52;4,26;5,01;5,79;6,6;7,45;8,35;9,3;10,33;11,46;12,72;14,17;15,93;18,21;21,73;39,12
27,3;0;0,7;1,39;2,09;2,79;3,51;4,25;5;5,78;6,59;7,44;8,33;9,28;10,31;11,43;12,69;14,15;15,9;18,18;21,69;39,03
27,4;0;0,69;1,39;2,08;2,79;3,51;4,24;4,99;5,77;6,58;7,42;8,31;9,26;10,29;11,41;12,67;14,12;15,87;18,15;21,65;38,95
27,5;0;0,69;1,38;2,08;2,78;3,5;4,23;4,98;5,76;6,57;7,41;8,3;9,25;10,27;11,39;12,65;14,1;15,84;18,11;21,61;38,86
27,6;0;0,69;1,38;2,08;2,78;3,49;4,23;4,98;5,75;6,55;7,4;8,28;9,23;10,25;11,37;12,62;14,07;15,81;18,08;21,57;38,78
27,7;0;0,69;1,38;2,07;2,77;3,49;4,22;4,97;5,74;6,54;7,38;8,27;9,21;10,23;11,35;12,6;14,04;15,78;18,04;21,53;38,69
27,8;0;0,69;1,38;2,07;2,77;3,48;4,21;4,96;5,73;6,53;7,37;8,25;9,2;10,21;11,33;12,58;14,02;15,75;18,01;21,49;38,6
27,9;0;0,69;1,37;2,06;2,76;3,48;4,2;4,95;5,72;6,52;7,36;8,24;9,18;10,2;11,31;12,56;13,99;15,72;17,98;21,45;38,52
28;0;0,69;1,37;2,06;2,76;3,47;4,19;4,94;5,71;6,51;7,34;8,22;9,16;10,18;11,29;12,53;13,97;15,7;17,95;21,41;38,43
28,1;0;0,69;1,37;2,06;2,75;3,46;4,19;4,93;5,7;6,49;7,33;8,21;9,15;10,16;11,27;12,51;13,94;15,67;17,91;21,37;38,34
28,2;0;0,68;1,37;2,05;2,75;3,46;4,18;4,92;5,69;6,48;7,32;8,19;9,13;10,14;11,25;12,49;13,92;15,64;17,88;21,34;38,25
28,3;0;0,68;1,36;2,05;2,74;3,45;4,17;4,91;5,68;6,47;7,3;8,18;9,11;10,12;11,23;12,46;13,89;15,61;17,85;21,3;38,16
28,4;0;0,68;1,36;2,05;2,74;3,44;4,17;4,9;5,67;6,46;7,29;8,17;9,1;10,1;11,21;12,44;13,87;15,58;17,82;21,26;38,26
28,5;0;0,68;1,36;2,04;2,74;3,44;4,16;4,9;5,66;6,45;7,28;8,15;9,08;10,09;11,19;12,42;13,84;15,56;17,79;21,22;38,18
28,6;0;0,68;1,36;2,04;2,73;3,43;4,15;4,89;5,65;6,44;7,26;8,14;9,07;10,07;11,17;12,4;13,82;15,53;17,75;21,18;38,1
28,7;0;0,68;1,35;2,04;2,73;3,43;4,14;4,88;5,64;6,43;7,25;8,12;9,05;10,05;11,15;12,38;13,79;15,5;17,72;21,15;38,02
28,8;0;0,68;1,35;2,03;2,72;3,42;4,14;4,87;5,63;6,41;7,24;8,11;9,03;10,03;11,13;12,36;13,77;15,47;17,69;21,11;37,94
28,9;0;0,68;1,35;2,03;2,72;3,41;4,13;4,86;5,62;6,4;7,23;8,09;9,02;10,02;11,11;12,33;13,74;15,45;17,66;21,07;37,87
29;0;0,67;1,35;2,03;2,71;3,41;4,12;4,85;5,61;6,39;7,21;8,08;9;10;11,09;12,31;13,72;15,42;17,63;21,03;37,79
29,1;0;0,67;1,34;2,02;2,71;3,4;4,11;4,84;5,6;6,38;7,2;8,07;8,99;9,98;11,07;12,29;13,7;15,39;17,6;21;37,71
29,2;0;0,67;1,34;2,02;2,7;3,4;4,11;4,84;5,59;6,37;7,19;8,05;8,97;9,96;11,05;12,27;13,67;15,36;17,57;20,96;37,63
29,3;0;0,67;1,34;2,01;2,7;3,39;4,1;4,83;5,58;6,36;7,18;8,04;8,96;9,95;11,03;12,25;13,65;15,34;17,54;20,92;37,55
29,4;0;0,67;1,34;2,01;2,69;3,39;4,09;4,82;5,57;6,35;7,16;8,02;8,94;9,93;11,01;12,23;13,63;15,31;17,51;20,89;37,47
29,5;0;0,67;1,34;2,01;2,69;3,38;4,09;4,81;5,56;6,34;7,15;8,01;8,92;9,91;10,99;12,21;13,6;15,29;17,48;20,85;37,39
29,6;0;0,67;1,33;2;2,68;3,37;4,08;4,8;5,55;6,33;7,14;8;8,91;9,9;10,98;12,18;13,58;15,26;17,45;20,81;37,3
29,7;0;0,67;1,33;2;2,68;3,37;4,07;4,79;5,54;6,32;7,13;7,98;8,89;9,88;10,96;12,16;13,56;15,23;17,42;20,78;37,22
29,8;0;0,67;1,33;2;2,67;3,36;4,07;4,79;5,53;6,31;7,11;7,97;8,88;9,86;10,94;12,14;13,53;15,21;17,39;20,74;37,14
29,9;0;0,66;1,33;1,99;2,67;3,36;4,06;4,78;5,52;6,29;7,1;7,96;8,86;9,85;10,92;12,12;13,51;15,18;17,36;20,71;37,23
30;0;0,66;1,32;1,99;2,67;3,35;4,05;4,77;5,51;6,28;7,09;7,94;8,85;9,83;10,9;12,1;13,49;15,16;17,33;20,67;37,16
30,1;0;0,66;1,32;1,99;2,66;3,35;4,04;4,76;5,5;6,27;7,08;7,93;8,83;9,81;10,88;12,08;13,46;15,13;17,3;20,64;37,09
30,2;0;0,66;1,32;1,98;2,66;3,34;4,04;4,75;5,49;6,26;7,07;7,92;8,82;9,8;10,86;12,06;13,44;15,1;17,27;20,6;37,02
30,3;0;0,66;1,32;1,98;2,65;3,33;4,03;4,75;5,49;6,25;7,06;7,9;8,81;9,78;10,85;12,04;13,42;15,08;17,24;20,57;36,94
30,4;0;0,66;1,32;1,98;2,65;3,33;4,02;4,74;5,48;6,24;7,04;7,89;8,79;9,76;10,83;12,02;13,4;15,05;17,21;20,53;36,87
30,5;0;0,66;1,31;1,97;2,64;3,32;4,02;4,73;5,47;6,23;7,03;7,88;8,78;9,75;10,81;12;13,37;15,03;17,18;20,5;36,8
30,6;0;0,66;1,31;1,97;2,64;3,32;4,01;4,72;5,46;6,22;7,02;7,86;8,76;9,73;10,79;11,98;13,35;15;17,15;20,47;36,72
30,7;0;0,66;1,31;1,97;2,63;3,31;4;4,72;5,45;6,21;7,01;7,85;8,75;9,71;10,77;11,96;13,33;14,98;17,13;20,43;36,65
30,8;0;0,65;1,31;1,96;2,63;3,31;4;4,71;5,44;6,2;7;7,84;8,73;9,7;10,76;11,94;13,31;14,95;17,1;20,4;36,58
30,9;0;0,65;1,3;1,96;2,63;3,3;3,99;4,7;5,43;6,19;6,99;7,82;8,72;9,68;10,74;11,92;13,29;14,93;17,07;20,36;36,5
31;0;0,65;1,3;1,96;2,62;3,3;3,99;4,69;5,42;6,18;6,97;7,81;8,7;9,67;10,72;11,9;13,26;14,91;17,04;20,33;36,42
31,1;0;0,65;1,3;1,96;2,62;3,29;3,98;4,68;5,41;6,17;6,96;7,8;8,69;9,65;10,7;11,88;13,24;14,88;17,01;20,3;36,35
31,2;0;0,65;1,3;1,95;2,61;3,29;3,97;4,68;5,4;6,16;6,95;7,79;8,68;9,64;10,69;11,86;13,22;14,86;16,98;20,26;36,27
31,3;0;0,65;1,3;1,95;2,61;3,28;3,97;4,67;5,4;6,15;6,94;7,77;8,66;9,62;10,67;11,85;13,2;14,83;16,96;20,23;36,19
31,4;0;0,65;1,29;1,95;2,6;3,27;3,96;4,66;5,39;6,14;6,93;7,76;8,65;9,6;10,65;11,83;13,18;14,81;16,93;20,2;36,29
31,5;0;0,65;1,29;1,94;2,6;3,27;3,95;4,65;5,38;6,13;6,92;7,75;8,63;9,59;10,64;11,81;13,16;14,79;16,9;20,17;36,22
31,6;0;0,65;1,29;1,94;2,6;3,26;3,95;4,65;5,37;6,12;6,91;7,74;8,62;9,57;10,62;11,79;13,14;14,76;16,88;20,13;36,16
31,7;0;0,65;1,29;1,94;2,59;3,26;3,94;4,64;5,36;6,11;6,9;7,72;8,61;9,56;10,6;11,77;13,12;14,74;16,85;20,1;36,09
31,8;0;0,64;1,29;1,93;2,59;3,25;3,93;4,63;5,35;6,1;6,89;7,71;8,59;9,54;10,58;11,75;13,09;14,71;16,82;20,07;36,02
31,9;0;0,64;1,28;1,93;2,58;3,25;3,93;4,63;5,34;6,09;6,87;7,7;8,58;9,53;10,57;11,73;13,07;14,69;16,8;20,04;35,95
32;0;0,64;1,28;1,93;2,58;3,24;3,92;4,62;5,34;6,08;6,86;7,69;8,57;9,51;10,55;11,71;13,05;14,67;16,77;20,01;35,88
32,1;0;0,64;1,28;1,92;2,58;3,24;3,92;4,61;5,33;6,07;6,85;7,68;8,55;9,5;10,53;11,7;13,03;14,64;16,74;19,96;35,81
